date,coin,news_count,pos,neu,neg,mean_sentiment
2018-01-01,LTC,1,0,1,0,0
2018-01-02,BTC,6,0,6,0,0
2018-01-02,ETH,2,0,2,0,0
2018-01-03,BTC,14,0,14,0,0
2018-01-03,ETH,2,0,2,0,0
2018-01-04,BTC,13,0,13,0,0
2018-01-04,ETH,3,0,3,0,0
2018-01-05,BTC,12,0,12,0,0
2018-01-05,ETH,3,0,3,0,0
2018-01-05,LTC,1,0,1,0,0
2018-01-06,BTC,5,0,5,0,0
2018-01-06,ETH,3,0,3,0,0
2018-01-07,BTC,2,0,2,0,0
2018-01-07,ETH,2,0,2,0,0
2018-01-07,LTC,1,0,1,0,0
2018-01-08,BTC,13,0,13,0,0
2018-01-08,ETH,2,0,2,0,0
2018-01-08,LTC,1,0,1,0,0
2018-01-09,BTC,11,0,11,0,0
2018-01-09,ETH,2,0,2,0,0
2018-01-10,BTC,16,0,16,0,0
2018-01-10,ETH,1,0,1,0,0
2018-01-11,BTC,10,0,10,0,0
2018-01-11,ETH,3,0,3,0,0
2018-01-12,BTC,12,0,12,0,0
2018-01-12,ETH,2,0,2,0,0
2018-01-13,BTC,7,0,7,0,0
2018-01-13,LTC,1,0,1,0,0
2018-01-14,BTC,7,0,7,0,0
2018-01-15,BTC,8,0,8,0,0
2018-01-15,ETH,1,0,1,0,0
2018-01-16,BTC,13,0,13,0,0
2018-01-16,ETH,1,0,1,0,0
2018-01-17,BTC,9,0,9,0,0
2018-01-17,ETH,3,0,3,0,0
2018-01-18,BTC,7,0,7,0,0
2018-01-18,ETH,3,0,3,0,0
2018-01-19,BTC,7,0,7,0,0
2018-01-19,ETH,4,0,4,0,0
2018-01-20,BTC,7,0,7,0,0
2018-01-20,ETH,2,0,2,0,0
2018-01-21,BTC,7,0,7,0,0
2018-01-21,ETH,2,0,2,0,0
2018-01-22,BTC,9,0,9,0,0
2018-01-22,ETH,4,0,4,0,0
2018-01-23,BTC,12,0,12,0,0
2018-01-23,ETH,3,0,3,0,0
2018-01-23,LTC,1,0,1,0,0
2018-01-24,BTC,10,0,10,0,0
2018-01-25,BTC,10,0,10,0,0
2018-01-25,ETH,2,0,2,0,0
2018-01-26,BTC,12,0,12,0,0
2018-01-26,ETH,3,0,3,0,0
2018-01-26,LTC,1,0,1,0,0
2018-01-27,BTC,4,0,4,0,0
2018-01-27,ETH,2,0,2,0,0
2018-01-28,BTC,1,0,1,0,0
2018-01-28,ETH,2,0,2,0,0
2018-01-29,BTC,10,0,10,0,0
2018-01-29,ETH,4,0,4,0,0
2018-01-30,BTC,12,0,12,0,0
2018-01-30,ETH,2,0,2,0,0
2018-01-31,BTC,9,0,9,0,0
2018-01-31,ETH,3,0,3,0,0
2018-02-01,BTC,10,0,10,0,0
2018-02-01,ETH,2,0,2,0,0
2018-02-02,BTC,9,0,9,0,0
2018-02-02,ETH,2,0,2,0,0
2018-02-03,BTC,1,0,1,0,0
2018-02-04,BTC,2,0,2,0,0
2018-02-05,BTC,9,0,9,0,0
2018-02-05,ETH,5,0,5,0,0
2018-02-05,LTC,2,0,2,0,0
2018-02-06,BTC,9,0,9,0,0
2018-02-06,ETH,2,0,2,0,0
2018-02-07,BTC,10,0,10,0,0
2018-02-07,ETH,1,0,1,0,0
2018-02-08,BTC,11,0,11,0,0
2018-02-08,ETH,2,0,2,0,0
2018-02-08,LTC,1,0,1,0,0
2018-02-09,BTC,7,0,7,0,0
2018-02-09,LTC,1,0,1,0,0
2018-02-10,BTC,6,0,6,0,0
2018-02-10,ETH,1,0,1,0,0
2018-02-11,BTC,7,0,7,0,0
2018-02-11,ETH,2,0,2,0,0
2018-02-11,LTC,1,0,1,0,0
2018-02-12,BTC,11,0,11,0,0
2018-02-12,ETH,4,0,4,0,0
2018-02-12,LTC,1,0,1,0,0
2018-02-13,BTC,5,0,5,0,0
2018-02-13,ETH,3,0,3,0,0
2018-02-14,BTC,11,0,11,0,0
2018-02-14,ETH,2,0,2,0,0
2018-02-14,LTC,2,0,2,0,0
2018-02-15,BTC,11,0,11,0,0
2018-02-15,ETH,2,0,2,0,0
2018-02-15,LTC,2,0,2,0,0
2018-02-16,BTC,10,0,10,0,0
2018-02-16,ETH,2,0,2,0,0
2018-02-16,LTC,4,0,4,0,0
2018-02-17,BTC,7,0,7,0,0
2018-02-17,ETH,2,0,2,0,0
2018-02-18,BTC,1,0,1,0,0
2018-02-18,ETH,1,0,1,0,0
2018-02-19,BTC,6,0,6,0,0
2018-02-19,ETH,4,0,4,0,0
2018-02-19,LTC,2,0,2,0,0
2018-02-20,BTC,8,0,8,0,0
2018-02-20,ETH,1,0,1,0,0
2018-02-21,BTC,5,0,5,0,0
2018-02-21,ETH,3,0,3,0,0
2018-02-22,BTC,12,0,12,0,0
2018-02-22,ETH,2,0,2,0,0
2018-02-22,LTC,2,0,2,0,0
2018-02-23,BTC,6,0,6,0,0
2018-02-23,ETH,2,0,2,0,0
2018-02-24,BTC,4,0,4,0,0
2018-02-24,ETH,1,0,1,0,0
2018-02-25,BTC,2,0,2,0,0
2018-02-25,ETH,1,0,1,0,0
2018-02-26,BTC,12,0,12,0,0
2018-02-26,ETH,2,0,2,0,0
2018-02-26,LTC,3,0,3,0,0
2018-02-27,BTC,15,0,15,0,0
2018-02-27,ETH,1,0,1,0,0
2018-02-28,BTC,8,0,8,0,0
2018-02-28,ETH,3,0,3,0,0
2018-02-28,LTC,1,0,1,0,0
2018-03-01,BTC,6,0,6,0,0
2018-03-01,ETH,4,0,4,0,0
2018-03-01,LTC,1,0,1,0,0
2018-03-02,BTC,8,0,8,0,0
2018-03-02,ETH,3,0,3,0,0
2018-03-03,BTC,6,0,6,0,0
2018-03-03,ETH,2,0,2,0,0
2018-03-04,BTC,1,0,1,0,0
2018-03-04,LTC,1,0,1,0,0
2018-03-05,BTC,6,0,6,0,0
2018-03-05,ETH,1,0,1,0,0
2018-03-06,BTC,8,0,8,0,0
2018-03-06,ETH,2,0,2,0,0
2018-03-06,LTC,1,0,1,0,0
2018-03-07,BTC,4,0,4,0,0
2018-03-07,ETH,3,0,3,0,0
2018-03-07,LTC,1,0,1,0,0
2018-03-08,BTC,12,0,12,0,0
2018-03-08,ETH,1,0,1,0,0
2018-03-08,LTC,1,0,1,0,0
2018-03-09,BTC,12,0,12,0,0
2018-03-09,ETH,2,0,2,0,0
2018-03-09,LTC,1,0,1,0,0
2018-03-10,BTC,4,0,4,0,0
2018-03-10,ETH,2,0,2,0,0
2018-03-10,LTC,1,0,1,0,0
2018-03-11,BTC,5,0,5,0,0
2018-03-11,ETH,2,0,2,0,0
2018-03-11,LTC,1,0,1,0,0
2018-03-12,BTC,10,0,10,0,0
2018-03-13,BTC,12,0,12,0,0
2018-03-13,ETH,1,0,1,0,0
2018-03-14,BTC,20,0,20,0,0
2018-03-14,ETH,4,0,4,0,0
2018-03-14,LTC,2,0,2,0,0
2018-03-15,BTC,15,0,15,0,0
2018-03-15,ETH,5,0,5,0,0
2018-03-15,LTC,1,0,1,0,0
2018-03-16,BNB,1,0,1,0,0
2018-03-16,BTC,12,0,12,0,0
2018-03-16,ETH,2,0,2,0,0
2018-03-17,BTC,3,0,3,0,0
2018-03-18,BTC,3,0,3,0,0
2018-03-18,ETH,1,0,1,0,0
2018-03-19,BTC,10,0,10,0,0
2018-03-19,ETH,5,0,5,0,0
2018-03-20,BTC,13,0,13,0,0
2018-03-20,ETH,3,0,3,0,0
2018-03-21,BTC,12,0,12,0,0
2018-03-21,ETH,2,0,2,0,0
2018-03-21,LTC,1,0,1,0,0
